,names,ratings,cost,dish,deliveryin_min,order
296,Phobidden Fruit,4.4,₹150 for one,"Vietnamese, Asian, Desserts",49 min,1025+ orders placed from here recently
297,Kolkata Foods,4.2,₹150 for one,"Chinese, Seafood, Rolls, Fast Food",29 min,600+ orders placed from here recently
298,Yummy Paratha's Only,3.3,₹150 for one,"North Indian, Chinese, Street Food, Mithai, Beverages",52 min,525+ orders placed from here recently
299,Platform.65,3.7,₹300 for one,"North Indian, Mughlai, Chinese, South Indian, Biryani, Beverages, Desserts, Ice Cream",54 min,475+ orders placed from here recently
300,Grill Daddy,4.2,₹300 for one,"Continental, Italian, Asian, Steak, Sandwich, Burger, Beverages, Desserts",37 min,3400+ orders placed from here recently
301,Anupam's Coast II Coast,3.9,₹300 for one,"Seafood, Mangalorean, North Indian, Chinese, Beverages, Sichuan",40 min,1475+ orders placed from here recently
302,Flavours Hut,3.6,₹300 for one,"Kerala, North Indian, Chinese, Seafood, Biryani, Street Food",27 min,1100+ orders placed from here recently
303,Dessert Dash,3.7,₹300 for one,"Bakery, Desserts",43 min,300+ orders placed from here recently
304,Hive Honey Cake,4.0,₹300 for one,Bakery,27 min,300+ orders placed from here recently
305,Signature Wraps & Rolls By Faasos,3.8,₹300 for one,"Rolls, Wraps",20 min,50+ orders placed from here recently
306,Temperature,4.2,₹300 for one,"Street Food, Fast Food, Beverages, Desserts",21 min,4200+ orders placed from here recently
307,Hot Cafe,3.6,₹100 for one,"Chinese, Beverages, Shake",35 min,350+ orders placed from here recently
308,Fat Tiger,3.7,₹100 for one,"Momos, Burger, Pizza, Shake, Fast Food, Beverages",16 min,400+ orders placed from here recently
309,Sri Balaji Mess,3.8,₹100 for one,"Chinese, North Indian",46 min,250+ orders placed from here recently
310,89 Express Dhaba,3.6,₹100 for one,North Indian,37 min,350+ orders placed from here recently
311,Sardar G Malai Chaap Junction,3.9,₹200 for one,"North Indian, Rolls, Fast Food",36 min,1525+ orders placed from here recently
312,Irani Std Tea,4.0,₹200 for one,"Street Food, Fast Food, Beverages",21 min,4950+ orders placed from here recently
